,title,budget,release_season,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,revenue
78,The Hunger Games: Mockingjay - Part 2,160000000,Summer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,653428261
79,Thor: The Dark World,170000000,Summer,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,644571402
80,Moana,150000000,Summer,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,643331111
81,Sing,75000000,Summer,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,632443719
82,The Martian,108000000,Summer,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,630161890
83,Fast Five,125000000,Summer,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,626137675
84,Men in Black 3,225000000,Summer,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,624026776
85,Iron Man 2,200000000,Summer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,623933331
86,Ant-Man and the Wasp,140000000,Summer,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,622379576
87,Logan,97000000,Summer,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,616801808
88,How to Train Your Dragon 2,145000000,Summer,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,609123048
89,Life of Pi,120000000,Summer,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,609016565
90,Transformers: The Last Knight,217000000,Summer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,605425157
91,Tangled,260000000,Summer,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,591794936
92,The Croods,135000000,Summer,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,585178928
93,Ready Player One,175000000,Summer,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,582218455
94,Fifty Shades of Grey,40000000,Summer,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,571006128
95,Kong: Skull Island,185000000,Summer,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,566652812
96,The Smurfs,110000000,Summer,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,563749323
97,Cars 2,200000000,Summer,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,559852396
